,LG_CAT,MD_CAT,SM_CAT,FUEL_TYPE,FUEL_COST,SCALE,FACTOR
0,대중교통,버스,시내버스,CNG,,kgCO2/km,0.03030607
1,대중교통,버스,시내버스,경유,,kgCO2/km,0.03462043
2,대중교통,버스,시외버스,경유,,kgCO2/km,0.0456443
3,대중교통,버스,고속버스,경유,,kgCO2/km,0.0456443
4,대중교통,택시,택시,,,kgCO2/km,0.19430008
5,항공,항공,국내선,,,kgCO2/km,0.12773818
6,기타,킥보드,,,,kgCO2/km,0.00436661
7,기타,따릉이등 자전거,,,,kgCO2/km,0.0
8,기타,선박,,,,kgCO2/km,0.37760536
9,자동차,BMW,1시리즈 M135i x드라이브(2022),Gasoline,10.0,kgCO2/km,0.2198072
10,자동차,BMW,1시리즈 120i 어드밴티지(2022),Gasoline,11.0,kgCO2/km,0.199824727
11,자동차,BMW,1시리즈 120i 스포츠(2022),Gasoline,11.0,kgCO2/km,0.199824727
12,자동차,BMW,1시리즈 120i M 스포츠 패키지(2022),Gasoline,11.0,kgCO2/km,0.199824727
13,자동차,BMW,1시리즈 118d 조이(2021),Diesel,14.3,kgCO2/km,0.1855776
14,자동차,BMW,1시리즈 118d 스포츠 라인(2021),Diesel,14.3,kgCO2/km,0.1855776
15,자동차,BMW,1시리즈 118d M 스포츠 패키지(2021),Diesel,14.3,kgCO2/km,0.1855776
16,자동차,BMW,1시리즈 M135i x드라이브(2021),Gasoline,10.0,kgCO2/km,0.2198072
17,자동차,BMW,1시리즈 120i 어드밴티지(2021),Gasoline,11.0,kgCO2/km,0.199824727
18,자동차,BMW,1시리즈 120i 스포츠(2021),Gasoline,11.0,kgCO2/km,0.199824727
19,자동차,BMW,1시리즈 120i M 스포츠 패키지(2021),Gasoline,11.0,kgCO2/km,0.199824727
20,자동차,BMW,1시리즈 118d M 스포츠 퍼스트 에디션(2020),Diesel,14.3,kgCO2/km,0.1855776
21,자동차,BMW,1시리즈 118d 조이 퍼스트 에디션(2020),Diesel,14.3,kgCO2/km,0.1855776
22,자동차,BMW,1시리즈 118d 스포츠(2020),Diesel,14.3,kgCO2/km,0.1855776
23,자동차,BMW,1시리즈 118d M 스포츠(2020),Diesel,14.3,kgCO2/km,0.1855776
24,자동차,BMW,1시리즈 118d 조이(2019),Diesel,13.9,kgCO2/km,0.190917963
25,자동차,BMW,1시리즈 118d 스포츠 라인(2019),Diesel,13.9,kgCO2/km,0.190917963
26,자동차,BMW,2시리즈 220d 그란 쿠페 럭셔리 라인(2022),Diesel,13.9,kgCO2/km,0.190917963
27,자동차,BMW,2시리즈 220d 그란 쿠페 어드밴티지(2022),Diesel,13.9,kgCO2/km,0.190917963
28,자동차,BMW,2시리즈 218d 그란 쿠페 어드벤티지(2022),Diesel,14.3,kgCO2/km,0.1855776
29,자동차,BMW,2시리즈 218d 그란 쿠페 M 스포츠 패키지(2022),Diesel,14.3,kgCO2/km,0.1855776
30,자동차,BMW,2시리즈 M240i x드라이브 쿠페 퍼스트 에디션(2022),Gasoline,9.6,kgCO2/km,0.228965833
31,자동차,BMW,2시리즈 M235i x드라이브 그란 쿠페 M 퍼포먼스 에디션(2022),Gasoline,10.4,kgCO2/km,0.211353077
32,자동차,BMW,2시리즈 M235i x드라이브 그란 쿠페(2022),Gasoline,10.4,kgCO2/km,0.211353077
33,자동차,BMW,2시리즈 220i 그란 쿠페 어드밴티지(2022),Gasoline,11.2,kgCO2/km,0.196256429
34,자동차,BMW,2시리즈 220i 그란 쿠페 M 스포츠 패키지(2022),Gasoline,11.2,kgCO2/km,0.196256429
35,자동차,BMW,2시리즈 220d 그란 쿠페 럭셔리 라인(2021),Diesel,13.9,kgCO2/km,0.190917963
36,자동차,BMW,2시리즈 220d 그란 쿠페 어드밴티지(2021),Diesel,13.9,kgCO2/km,0.190917963
37,자동차,BMW,2시리즈 218d 그란 쿠페 어드벤티지(2021),Diesel,14.3,kgCO2/km,0.1855776
38,자동차,BMW,2시리즈 218d 그란 쿠페 M 스포츠 패키지(2021),Diesel,14.3,kgCO2/km,0.1855776
39,자동차,BMW,2시리즈 M235i x드라이브 그란 쿠페 M 퍼포먼스 에디션(2021),Gasoline,10.4,kgCO2/km,0.211353077
40,자동차,BMW,2시리즈 M235i x드라이브 그란 쿠페(2021),Gasoline,10.4,kgCO2/km,0.211353077
41,자동차,BMW,2시리즈 220i 그란 쿠페 어드밴티지(2021),Gasoline,11.2,kgCO2/km,0.196256429
42,자동차,BMW,2시리즈 220i 그란 쿠페 M 스포츠 패키지(2021),Gasoline,11.2,kgCO2/km,0.196256429
43,자동차,BMW,2시리즈 220d 그란 쿠페 어드밴티지(2020),Diesel,13.9,kgCO2/km,0.190917963
