,Unnamed: 0,index,TRRSRT_NM,PER_PRICE,TEL_NO,ADDR_LTNO,객실수,SUM_GRGS_DSAMT,ROOM_PER
0,0,0,봄그리고가을리조트,9676.899070385129,647842211.0,제주특별자치도 서귀포시 성산읍 시흥리 208,46,0.0380629872,0.0008274562434782
1,1,4,해비치호텔앤드리조트(섬모라),80450.54844606947,647808322.0,제주특별자치도 서귀포시 표선면 표선리 40-69,215,3.4847766824545454,0.0162082636393234
2,2,5,해비치호텔앤드리조트(하노루),168945.0,647808311.0,제주특별자치도 서귀포시 표선면 표선리 40-69,215,3.4847766824545454,0.0162082636393234
3,3,7,골드원호텔,,,제주특별자치도 서귀포시 서호동 115,51,0.2886245392999999,0.0056593046921568
4,4,8,올레리조트,,,제주특별자치도 제주시 애월읍 신엄리 2867-3,53,1.4128179745333334,0.0266569429157232
5,5,9,위(WE)호텔,,,제주특별자치도 서귀포시 회수동 30,86,3.8751873576666656,0.045060318112403
6,6,10,유어스호텔,,,제주특별자치도 서귀포시 중문동 2129-2,83,0.4370879916666667,0.0052661203815261
7,7,11,동양개발(주),,,제주특별자치도 제주시 애월읍 구엄리 609-1,82,0.3280848647933334,0.004001034936504
8,8,12,호텔라온제주,,,제주특별자치도 제주시 한림읍 협재리 2838,934,0.0265871519766666,2.8465901473947183e-05
9,9,14,주식회사 란해,,,제주특별자치도 제주시 애월읍 고내리 332-5,32,0.0051937468757575,0.0001623045898674
10,10,15,주식회사 유니,,,제주특별자치도 제주시 애월읍 구엄리 1216,62,1.5558729222666663,0.0250947245526881
11,11,16,빌라드애월제주,,,제주특별자치도 제주시 애월읍 신엄리 2768-7,53,0.7759774324,0.0146410836301886
12,12,17,호텔 더본 제주,,,제주특별자치도 서귀포시 색달동 2138,139,2.029101536633333,0.0145978527815347
13,13,18,스타즈호텔 제주,,,제주특별자치도 제주시 삼도이동 57-2,121,0.0086450595,7.144677272727272e-05
14,14,19,신라스테이 제주,,,제주특별자치도 제주시 연동 274-16,301,3.3078019529090907,0.0109893752588341
15,15,20,주식회사 선샤인,,,제주특별자치도 서귀포시 서홍동 637,105,1.1173022543999998,0.0106409738514285
16,16,21,(주)호텔롯데제주,,,제주특별자치도 서귀포시 색달동 2812-4,500,17.472915577666665,0.0349458311553333
17,17,22,다인오세아노호텔,,,제주특별자치도 제주시 애월읍 고내리 84,83,1.4733173547333334,0.0177508115028112
