,landmark,address,tags,score,읍면동,SUM_GRGS_DSAMT
0,성산일출봉(UNESCO 세계자연유산),제주특별자치도 서귀포시 성산읍 일출로 284-12,"#일출 #오름 #경관/포토
#부모 #자연경관 #포토스팟 #유네스코",-3,성산읍,0.06332246379827976
1,섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,"#일출 #해변 #경관/포토
#커플 #맑음 #가을 #자연경관 #포토스팟 #봄꽃 #유채꽃",-1,성산읍,0.06332246379827976
2,광치기해변,제주특별자치도 서귀포시 성산읍 섭지코지로 63,"#일출 #해변 #경관/포토
#흐림 #봄 #자연경관 #포토스팟 #봄꽃 #유채꽃",-1,성산읍,0.06332246379827976
3,아쿠아플라넷 제주,제주특별자치도 서귀포시 성산읍 섭지코지로 95,"#실내 #테마공원 #아이
#비.눈 #사계절 #우수관광사업체 #실내관광지 #어린이 #어트랙션 #어린이동물농장 #안전여행스탬프",2,성산읍,0.06332246379827976
4,김영갑갤러리 두모악,제주특별자치도 서귀포시 성산읍 삼달로 137,"#예술 #실내 #미술/박물관
#커플 #흐림 #겨울 #문화관광 #어트랙션",-1,성산읍,0.06332246379827976
5,신양섭지해수욕장,제주특별자치도 서귀포시 성산읍 섭지코지로 107,"#해수욕장 #액티비티 #커플
#맑음 #여름 #자연경관 #체험 #레저/체험 #해변 #물놀이 #수상레저",6,성산읍,0.06332246379827976
6,일출랜드,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,"#테마공원 #아이 #맑음
#우수관광사업체 #실내관광지 #어트랙션 #안전여행스탬프 #가족 #체험 #곶자왈",4,성산읍,0.06332246379827976
7,성산항,제주특별자치도 서귀포시 성산읍 성산등용로 129-21,#맑음,0,성산읍,0.06332246379827976
8,제주해양동물박물관,제주특별자치도 서귀포시 성산읍 서성일로 689-21,"#실내 #미술/박물관 #아이
#비.눈 #사계절 #실내관광지 #문화관광 #박물관 #어린이 #어트랙션 #어린이동물농장 #안전여행스탬프",1,성산읍,0.06332246379827976
9,혼인지,제주특별자치도 서귀포시 성산읍 혼인지로 39-22,"#문화유적지 #맑음 #문화관광
#역사유적 #수국",3,성산읍,0.06332246379827976
10,제주베니스랜드,제주특별자치도 서귀포시 성산읍 난산리 2575,"#테마공원 #아이 #가을
#어린이 #어트랙션",2,성산읍,0.06332246379827976
11,제주커피박물관 바움 Baum,제주특별자치도 서귀포시 성산읍 서성일로1168번길 89-17,"#실내 #미술/박물관 #친구
#커플 #비.눈 #겨울 #실내관광지 #문화관광 #박물관 #어트랙션",0,성산읍,0.06332246379827976
12,터진목 & 성산면 4·3희생자 위령비,제주특별자치도 서귀포시 성산읍 일출로 88-19,"#4.3 #문화유적지 #문화관광
#제주4.3 #역사유적 #어트랙션",4,성산읍,0.06332246379827976
13,우도잠수함(제주씨월드),제주특별자치도 서귀포시 성산읍 성산등용로 130-21,"#액티비티 #부모 #아이
#체험 #레저/체험 #어린이 #수상레저 #어트랙션",5,성산읍,0.06332246379827976
14,오조포구,제주특별자치도 서귀포시 성산읍 오조리,"#포구 #일출 #해변
#문화유적지 #자연경관 #역사유적 #k-drama",3,성산읍,0.06332246379827976
15,제주올레 1코스,제주특별자치도 서귀포시 성산읍 오조리 396-1,"#올레 #걷기/등산 #친구
#자연경관 #도보여행 #도보",-3,성산읍,0.06332246379827976
16,성산오조리해안,제주특별자치도 거쉬포시 성산읍 한도로,"#해변 #경관/포토 #커플
#맑음 #겨울 #자연경관 #포토스팟",-2,성산읍,0.06332246379827976
17,두산봉(말미오름),제주특별자치도 서귀포시 성산읍 시흥리 산 1-5,"#커플 #친구 #일출
#봄 #오름 #자연경관 #도보여행 #도보",-3,성산읍,0.06332246379827976
18,"대수산봉(큰물뫼,물미오름)",제주특별자치도 서귀포시 성산읍 서성일로1168번길 89-17,"#부모 #아이 #친구
#커플 #혼자 #맑음 #오름 #자연경관 #도보여행 #도보 #어린이",-4,성산읍,0.06332246379827976
19,쇠와꽃 승마장,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 88-17,"#커플 #친구 #아이
#맑음 #액티비티 #승마 #체험 #레저/체험 #어린이 #어트랙션",5,성산읍,0.06332246379827976
20,제주올레 2코스,제주특별자치도 서귀포시 성산읍 고성리 2563-3,"#올레 #걷기/등산 #친구
#봄 #가을 #자연경관 #도보여행 #도보",-3,성산읍,0.06332246379827976
21,미천굴,제주특별자치도 서귀포시 성산읍 온평동로34번길 18,"#동굴 #경관/포토 #커플
#아이 #맑음 #여름 #자연경관 #포토스팟 #어린이",-2,성산읍,0.06332246379827976
22,온평리 포구,제주특별자치도 서귀포시 성산읍 온평리,"#포구 #해변 #문화유적지
#봄 #자연경관 #역사유적",2,성산읍,0.06332246379827976
23,유건에오름,제주특별자치도 서귀포시 성산읍 난산리 2302,"#오름 #걷기/등산 #자연경관
#도보여행 #도보",-3,성산읍,0.06332246379827976
24,제주어울림감귤체험농장,제주특별자치도 서귀포시 성산읍 서성일로 809,#체험관광 #체험 #어트랙션,3,성산읍,0.06332246379827976
25,지포뮤지엄,제주특별자치도 서귀포시 성산읍 섭지코지로 107,"#실내 #미술/박물관 #친구
#커플 #비.눈 #사계절 #실내관광지 #어트랙션",-1,성산읍,0.06332246379827976
26,통오름,제주특별자치도 서귀포시 성산읍 신산리 1754-1,"#오름 #청년 #중/장년
#휴식/치유 #경관/포토 #액티비티 #친구 #혼자 #커플 #자연경관 #체험 #도보여행 #도보 #레저/체험 #포토스팟 #어트랙션",-3,성산읍,0.06332246379827976
27,고흐의 정원,제주특별자치도 서귀포시 성산읍 삼달신풍로 126-5,"#부모 #커플 #혼자
#친구 #아이 #사계절 #미술 #체험전시 #자연경관 #실내관광지 #문화관광 #체험 #어린이 #어트랙션",2,성산읍,0.06332246379827976
28,궁대오름(궁대악),제주특별자치도 서귀포시 성산읍 금백조로 446,"#부모 #커플 #친구
#경관/포토 #휴식/힐링 #테마공원 #오름 #사계절 #청년 #중/장년 #휴식/치유 #자연경관 #도보여행 #도보 #포토스팟",-7,성산읍,0.06332246379827976
29,농개,제주특별자치도 서귀포시 성산읍 환해장성로111번길 4,"#맑음 #휴식/힐링 #여름
#해변 #올레 #물놀이 #용천수 #낚시 #자연경관",0,성산읍,0.06332246379827976
30,"대왕산(왕뫼, 왕메, 왕미)",제주특별자치도 서귀포시 성산읍 수산리 1429,"#부모 #커플 #혼자
#친구 #맑음 #오름 #아이 #자연경관 #어린이",-2,성산읍,0.06332246379827976
31,독자봉독자봉,제주특별자치도 서귀포시 성산읍 신산리 1785,"#커플 #친구 #아이
#맑음 #오름 #자연경관 #어린이",-2,성산읍,0.06332246379827976
32,우도(해양도립공원),제주특별자치도 제주시 우도면 삼양고수물길 1,"#섬속의섬 #경관/포토 #아이
#맑음 #자연경관 #포토스팟 #어린이 #봄꽃 #유채꽃 #유네스코",-3,우도면,0.024233296710090793
33,우도산호해변 홍조단괴 서빈백사,제주특별자치도 제주시 우도면 우도해안길 252,"#일몰 #해변 #경관/포토
#커플 #맑음 #여름 #자연경관 #포토스팟",-3,우도면,0.024233296710090793
34,검멀레해변,제주특별자치도 제주시 우도면 우도해안길,"#해변 #경관/포토 #커플
#맑음 #여름 #자연경관 #포토스팟 #k-drama",-2,우도면,0.024233296710090793
35,하고수동해변,제주특별자치도 제주시 우도면 연평리,"#해변 #휴식/힐링 #친구
#커플 #맑음 #여름 #자연경관",-1,우도면,0.024233296710090793
36,우도 비양도,제주특별자치도 제주시 우도면 연평리,"#일출 #경관/포토 #아이
#맑음 #봄 #자연경관 #포토스팟 #어린이 #언택트 #k-drama",-3,우도면,0.024233296710090793
37,우도등대,제주특별자치도 제주시 우도면 우도봉길 105,"#등대 #경관/포토 #친구
#맑음 #봄 #포토스팟",-2,우도면,0.024233296710090793
38,톨칸이,제주특별자치도 제주시 우도면 연평리 1732-1,"#커플 #친구 #혼자
#경관/포토 #해변 #자연경관 #포토스팟",-2,우도면,0.024233296710090793
39,검멀레동굴,제주특별자치도 제주시 우도면,"#경관/포토 #친구 #커플
#부모 #아이 #맑음 #동굴 #자연경관 #포토스팟 #어린이",-2,우도면,0.024233296710090793
40,답다니 탑망대(하트원담),제주특별자치도 제주시 우도면 연평리 798,"#등대 #경관/포토 #맑음
#포토스팟 #어트랙션 #수국",-1,우도면,0.024233296710090793
41,우도봉 풍경,제주특별자치도 제주시 우도면 연평리 1,"#일출 #오름 #경관/포토
#맑음 #자연경관 #포토스팟",-3,우도면,0.024233296710090793
42,제주올레 1-1코스,제주특별자치도 제주시 우도면 연평리 2473-1,"#커플 #혼자 #친구
#맑음 #봄 #가을 #올레 #자연경관 #도보여행 #도보",-4,우도면,0.024233296710090793
43,노을승마장,제주특별자치도 제주시 우도면 우도해안길 406-1,"#승마 #액티비티 #체험
#레저/체험 #어트랙션",5,우도면,0.024233296710090793
44,우도스쿠터여행,제주특별자치도 제주시 우도면 2395-5,"#액티비티 #친구 #커플
#맑음 #가을 #체험 #레저/체험 #어트랙션",4,우도면,0.024233296710090793
45,우도올레보트,제주특별자치도 제주시 우도면 연평리 2562-1,"#올레 #액티비티 #맑음
#체험 #레저/체험 #수상레저 #어트랙션",4,우도면,0.024233296710090793
46,등머을레져,제주특별자치도 제주시 우도면 우도해안길 70,"#액티비티 #맑음 #체험
#레저/체험 #수상레저 #어트랙션",5,우도면,0.024233296710090793
47,사려니숲길,제주특별자치도 제주시 조천읍 교래리 산 137-1,"#숲길 #걷기/등산 #친구
#커플 #흐림 #봄 #자연경관 #도보여행 #도보 #숲 #단풍",-4,조천읍,0.05930770663078257
48,함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 519-10,"#해수욕장 #액티비티 #아이
#맑음 #여름 #자연경관 #체험 #레저/체험 #해변 #물놀이 #어린이 #수상레저",6,조천읍,0.05930770663078257
49,산굼부리,제주특별자치도 제주시 조천읍 비자림로 768,"#오름 #걷기/등산 #친구
#맑음 #가을 #우수관광사업체 #자연경관 #억새",-2,조천읍,0.05930770663078257
50,에코랜드 테마파크,제주특별자치도 제주시 조천읍 번영로 1278-169,"#테마공원 #아이 #맑음
#봄 #가을 #겨울 #실내관광지 #어린이 #어트랙션",2,조천읍,0.05930770663078257
51,선녀와나무꾼,제주특별자치도 제주시 조천읍 선교로 267,"#실내 #테마공원 #커플
#아이 #흐림 #사계절 #실내관광지 #어린이 #어트랙션",1,조천읍,0.05930770663078257
52,제주돌문화공원,제주특별자치도 제주시 조천읍 남조로 2023,"#테마공원 #커플 #흐림
#겨울 #실내관광지 #어트랙션",2,조천읍,0.05930770663078257
53,너븐숭이 4.3기념관,제주특별자치도 제주시 조천읍 북촌3길 3,"#4.3 #실내 #미술/박물관
#부모 #비.눈 #봄 #자연경관 #문화관광 #제주4.3 #역사유적 #어트랙션",0,조천읍,0.05930770663078257
54,거문오름(UNESCO 세계자연유산),제주특별자치도 제주시 조천읍 선교로 569-36,"#부모 #커플 #혼자
#친구 #맑음 #오름 #세계자연유산 #자연경관 #도보여행 #도보 #언택트 #유네스코",-5,조천읍,0.05930770663078257
55,함덕백사장 & 서우봉,제주특별자치도 제주시 조천읍 조함해안로 519-10,"#부모 #커플 #혼자
#친구 #아이 #맑음 #여름 #해변 #문화유적지 #오름 #자연경관 #역사유적 #어린이 #봄꽃 #유채꽃",1,조천읍,0.05930770663078257
56,렛츠런팜제주,제주특별자치도 제주시 조천읍 남조로 1660,"#테마공원 #아이 #꽃
#어린이 #해바라기",1,조천읍,0.05930770663078257
57,제주조천스위스마을,제주특별자치도 제주시 조천읍 함와로 566-27,"#포토스팟 #카페 #실내
#여자 #남자 #커플 #휴식 #비/바람/눈 #안개/흐림 #맑음 #여름 #마을산책 #마을관광 #어트랙션",-2,조천읍,0.05930770663078257
58,서우봉,제주특별자치도 제주시 조천읍 함덕리 169-1,"#맑음 #봄 #걷기/등산
#유채꽃 #오름 #코스모스 #자연경관 #봄꽃",-2,조천읍,0.05930770663078257
59,제주레포츠랜드,제주특별자치도 제주시 조천읍 와흘상서2길 47,"#액티비티 #아이 #맑음
#체험 #레저/체험 #어린이 #어트랙션",4,조천읍,0.05930770663078257
60,닭머르해안길,제주특별자치도 제주시 조천읍 신촌북3길 62-1,"#해변 #일몰 #걷기/등산
#맑음 #가을 #도보여행 #도보 #억새",-2,조천읍,0.05930770663078257
61,동백동산,제주특별자치도 제주시 조천읍 선흘리 산 12,"#걷기/등산 #휴식/힐링 #맑음
#겨울 #자연경관 #동백 #언택트",-3,조천읍,0.05930770663078257
